AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,0,0,-49,-15,0,100,-100,-65,100,-100,100,100,22,-47,0,0,-67,0,0,-21,-24,0,100,0,0,0,-21,100
100,-74,0,-100,64,23,-100,-69,-100,76,0,100,49,100,42,0,0,-38,0,0,-49,100,100,-100,-22,6,-9,100,-100
100,-100,0,-4,-100,-23,2,76,-35,50,0,60,-100,-45,88,0,0,-24,100,59,0,-25,9,0,0,-100,0,100,58
-35,-34,0,-7,-100,0,57,-76,100,-22,27,-100,0,100,-15,20,0,100,100,-46,0,0,-65,0,0,78,1,100,-68
-58,0,100,-14,-53,0,100,100,0,0,0,35,-46,93,1,-20,0,-57,-5,-13,0,-30,100,0,0,-40,92,-8,-13
0,0,-49,0,-22,100,-100,0,-55,100,-27,-100,0,-100,-99,0,0,69,-100,0,0,0,100,0,0,0,0,0,100
10,0,4,100,-46,-100,-100,100,92,-100,65,-23,40,100,100,100,54,-100,20,0,0,100,-29,2,0,-64,-67,-100,-100
-40,35,71,100,-100,100,100,63,-37,-100,-49,-23,100,-82,-100,-43,82,100,-100,100,0,51,-57,18,0,0,-26,100,-42
60,-21,-43,100,-33,-96,-96,100,89,-1,-16,-22,38,100,-100,-39,-12,-26,11,-10,0,0,0,85,0,100,2,52,-73
-43,-14,100,-100,0,100,-54,0,-35,-69,0,0,-100,100,100,-2,100,-65,0,45,0,100,100,-100,0,0,99,-100,100
100,0,0,-84,85,0,100,-52,-100,0,0,0,-97,-45,0,100,3,100,0,0,0,-18,0,-5,0,0,-100,0,-58
100,0,-8,100,11,-100,2,-100,-44,-1,0,-27,-84,-100,-73,100,-100,-56,-26,-86,100,-27,-25,0,0,100,-1,-100,100
-52,0,0,0,-100,100,1,-15,-100,0,0,0,0,0,100,-34,100,20,0,0,0,100,-51,0,0,0,0,100,-48
0,0,100,-100,100,99,-100,-100,-98,0,0,0,0,0,0,1,0,100,0,-24,-100,0,-98,0,0,-6,1,0,100
