AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,100,-100,9,0,0,100,-20,0,-28,-44,-96,-1,-60,100,69,100,0,0,0,45,100,-81,96,-84,0,0,0,100
85,0,41,-9,0,100,-100,0,100,0,0,100,-100,0,-28,-100,-100,0,0,0,-8,-86,0,-100,0,0,-33,1,0
-85,-11,-36,0,0,-71,0,0,-100,-100,44,0,100,0,100,0,0,100,0,0,100,100,0,-39,-16,0,100,1,-100
0,-8,1,0,0,-55,0,0,0,-69,0,0,0,100,-100,0,2,100,0,0,0,0,0,0,11,100,-56,-2,0
0,-6,45,100,99,-22,0,0,100,100,-44,-100,0,65,100,0,37,-100,0,0,-100,-1,0,-76,-11,-15,-66,0,0
0,0,100,-9,-64,0,0,0,-100,9,0,-32,0,3,100,0,0,0,0,0,0,-27,0,0,0,0,0,0,0
0,-5,-52,0,-35,100,55,0,100,-12,0,-30,-27,81,-93,60,20,-100,78,73,0,0,0,100,0,-85,0,70,0
0,-70,10,-45,0,-33,-55,0,100,-97,0,0,90,2,90,-34,-59,0,0,0,100,-37,0,-48,0,0,-96,100,100
0,0,0,0,96,-5,0,100,-44,0,0,0,0,-100,-63,1,0,0,0,0,0,-12,0,-52,0,0,0,0,-22
0,0,0,92,0,0,0,-100,-67,0,0,0,100,0,-37,-48,1,0,0,0,0,-37,0,0,0,100,100,0,-100
0,0,-100,0,100,0,1,100,0,0,0,0,-29,-100,0,1,-1,75,-77,-73,-59,0,0,100,0,-44,-37,100,-26
0,0,53,0,0,-62,-1,-49,-19,0,0,0,100,-100,-8,0,0,0,0,0,0,0,0,0,0,-56,100,0,100
100,100,-64,0,-100,0,0,-22,0,0,0,0,0,0,-100,0,0,0,100,0,-100,0,0,-1,31,100,-73,0,-42
-100,29,-27,2,-96,0,0,100,-70,0,45,0,-95,-100,100,-100,0,-75,-91,0,100,100,7,-5,-7,61,-100,-100,-87
100,-100,-31,-66,0,0,3,33,96,0,17,100,-100,100,-26,-100,0,0,-10,13,-63,-63,-7,100,-24,100,-57,-100,80
-37,-27,-98,-74,0,0,-3,30,0,92,100,92,-80,-83,-45,66,0,0,0,1,77,-37,0,0,0,0,0,-35,-60
-63,-2,-100,0,100,0,0,-21,0,0,-14,-67,0,0,-16,-5,0,0,0,0,17,100,0,100,0,-15,1,-35,0
100,0,-51,0,-94,100,0,-100,-96,0,0,0,0,-100,100,-36,0,0,100,-14,-98,100,0,-100,0,100,-1,0,79
96,0,100,0,44,-100,17,-55,0,-4,-38,-100,-100,21,100,-27,36,0,35,52,-76,-38,0,-44,25,-9,100,0,-100
100,100,0,0,-50,0,-17,-14,1,-42,-72,-25,63,0,74,0,100,0,-100,100,100,83,0,0,0,-99,100,0,15
0,-66,-100,0,0,0,16,0,-1,-46,-38,0,-100,93,-100,0,89,0,0,0,100,-80,70,0,100,0,-32,100,-23
-96,0,100,0,0,0,-16,-2,0,0,0,0,100,100,-77,0,-67,0,-25,-6,-100,0,-51,1,93,-100,-100,0,100
-20,-34,3,22,34,0,0,0,10,0,0,100,-68,100,10,100,34,0,-10,-89,-68,-100,49,17,-27,-100,34,100,-53
-64,0,-100,-22,0,100,2,100,-8,0,100,0,0,71,0,-100,0,0,0,70,83,92,-38,45,-29,-38,65,-15,-42
-100,100,-100,46,-34,100,100,76,-2,0,54,-45,78,-100,45,-47,-100,0,0,100,-90,100,49,-84,-100,0,26,-88,100
-16,16,-100,50,85,-28,-100,-23,71,0,-17,-55,-100,-100,-100,80,100,65,100,-44,-25,48,19,-33,-62,29,100,-97,-41
100,0,0,-96,100,-77,-2,-100,-71,0,88,0,0,-100,0,-80,-100,-65,3,0,100,0,100,100,41,-16,0,0,0
0,-100,100,0,0,100,0,-53,100,0,-16,98,-100,0,0,20,-92,0,-50,0,0,-40,-100,100,0,-13,0,0,0
2,-16,100,0,-100,-12,0,0,100,0,0,87,-88,0,100,-20,0,0,100,-72,0,-16,0,-57,-41,0,100,1,-21
0,0,0,0,100,0,2,0,0,0,-44,27,-100,-100,-21,0,0,0,0,0,0,-43,0,0,0,0,-45,0,100
-5,0,0,100,-100,0,-2,0,0,0,-57,-42,0,-23,93,0,100,100,57,1,0,0,-98,0,0,0,-36,-1,-36
-49,0,11,100,-85,-10,0,0,-100,0,100,0,-48,-100,-2,92,-100,83,-100,0,100,-70,0,-76,0,0,-33,2,-91
100,0,100,1,0,0,1,0,-62,0,-99,0,0,-81,0,-92,0,9,0,-100,0,100,0,100,0,0,-100,0,0
-55,100,0,-100,0,0,-1,0,0,0,0,0,-21,0,0,0,0,0,0,0,-100,0,0,1,67,0,0,-2,-18
-93,100,-27,45,0,100,0,0,100,0,-100,-15,94,0,100,0,0,-28,-75,-12,-100,100,0,0,0,0,0,0,-12
0,-40,100,0,0,0,0,0,-89,0,0,-58,-46,0,100,0,0,0,-35,0,0,-38,76,0,0,0,-1,0,0
