AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
0,0,-33,0,0,0,-68,-45,0,-5,0,-2,1,1,0,0,0,0,0,0,94,0,0,0,0,0,0,1,100
0,-44,100,0,0,-100,-34,-8,-100,86,0,0,2,-100,0,0,0,0,-39,0,100,-100,0,0,0,0,0,-1,100
100,-22,-100,0,0,0,0,-16,0,0,0,-34,0,-2,0,-45,1,100,-15,-10,0,-100,0,-100,16,100,100,0,0
-46,0,-54,0,0,-20,0,0,0,0,85,-59,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,5,0,0
0,-39,0,0,0,0,-100,100,0,0,-25,89,0,-30,0,0,-1,100,-15,-100,-39,0,0,0,0,-96,-32,0,100
-62,-14,36,100,0,0,-32,-83,-25,0,0,-29,-100,-56,0,0,1,-100,100,-100,-7,100,0,100,0,0,0,0,0
-100,0,-59,-100,0,9,-89,-17,0,39,30,-82,-15,-13,100,42,58,53,-30,44,81,100,100,-49,-46,-95,100,0,61
0,0,0,0,0,-9,3,0,0,0,100,-61,-80,0,0,-42,0,-52,0,0,-69,-42,-100,0,93,0,0,0,100
59,16,-100,0,0,59,-16,0,100,-100,-48,44,100,0,-55,100,100,42,-90,-50,-70,-79,6,-51,45,79,100,0,-96
-100,100,0,0,0,-48,-17,0,0,100,0,0,-51,0,100,100,-52,0,0,-29,0,-100,91,0,-100,0,0,1,-63
-39,-24,-46,100,0,-11,100,0,-100,0,-58,100,-100,100,100,100,100,-100,0,-16,0,0,63,0,0,-88,-100,-1,100
100,100,0,0,100,0,-77,0,0,-12,100,43,0,-100,0,0,1,0,0,0,-100,-100,0,0,-75,0,-100,0,-100
